,Country,Total_mT_2010,Total_mT_2019,PerHead_kg_2010,PerHead_kg_2019
44,Grenada,2248,1357,0.064,12.11607143
45,South Africa,630005,708467,0.134,12.09855186
46,Sierra Leone,36408,91239,0.035,11.67784462
47,Guinea,18514,147997,0.025,11.58852087
48,Vietnam,1833819,1112790,0.09,11.53604528
49,Cote d'Ivoire,194558,17544,0.086,11.33934751
50,Benin,43015,133335,0.036,11.29861876
51,Saint Vincent and the Grenadines,2245,1235,0.051,11.12612613
52,Guinea-Bissau,20240,20465,0.046,10.65330557
53,Djibouti,17324,10289,0.076,10.56365503
54,Argentina,157777,465808,0.026,10.40191152
55,Yemen,169181,291737,0.077,10.00401207
56,Nigeria,851493,1948950,0.085,9.698005613
57,Sao Tome and Principe,5081,2069,0.085,9.623255814
58,India,599819,12994100,0.009,9.509608
59,Ukraine,128765,393777,0.052,8.950697822
60,Samoa,5122,1738,0.084,8.822335025
61,China,8819717,12272200,0.092,8.559308412
62,Panama,34388,36339,0.029,8.558407913
63,Namibia,5480,20892,0.097,8.373547094
64,Morocco,310126,295488,0.049,8.101776705
65,Liberia,56728,39930,0.072,8.087907636
66,Myanmar,458269,434432,0.066,8.038338422
67,Angola,62528,236946,0.045,7.445278869
68,Sri Lanka,1591179,155466,0.299,7.290658413
69,Western Sahara,0,4114,0.0,7.068728522
70,Equatorial Guinea,5977,9403,0.047,6.934365782
71,Lebanon,47815,46622,0.034,6.800175029
72,Cape Verde,9347,3568,0.049,6.487272727
73,Antigua and Barbuda,1253,627,0.051,6.463917526
74,Palau,716,116,0.084,6.444444444
75,Tonga,6624,666,0.176,6.403846154
76,Bangladesh,787327,1021990,0.03,6.268108387
77,Ecuador,109383,108797,0.047,6.262058248
78,Pakistan,480493,1346460,0.09,6.21734837
79,Iran,247403,495965,0.074,5.981679813
80,Bahamas,1333,2212,0.011,5.686375321
81,Kenya,22658,289917,0.023,5.514455815
82,Solomon Islands,20394,3520,0.09,5.253731343
83,Mauritania,13854,20796,0.038,4.594785683
84,Fiji,49257,3858,0.151,4.334831461
85,Peru,194453,140313,0.039,4.315995078
86,Croatia,16461,0,0.028,4.247941889
87,Senegal,254770,65660,0.086,4.029209622
88,Mexico,101343,430614,0.012,3.375352731
89,El Salvador,118732,21693,0.051,3.361171367
90,Indonesia,3216856,824234,0.047,3.045657286
91,Barbados,3483,872,0.034,3.038327526
92,Kazakhstan,0,54242,0.0,2.92393941
93,Gabon,6087,5991,0.019,2.757017948
94,Romania,3610,52161,0.011,2.693570875
95,Russia,80759,363389,0.02,2.491149775
96,Saint Kitts and Nevis,715,97,0.054,1.830188679
97,Colombia,92173,85454,0.034,1.697570472
98,Chile,21754,30767,0.011,1.623417054
99,Brunei,93,692,0.001,1.598152425
100,Costa Rica,42090,291614,0.047,1.139263074
101,Madagascar,34522,25250,0.013,0.936260151
102,Netherlands,27700,15233,0.008,0.890975025
103,United States,275424,267469,0.007,0.812815117
104,Hong Kong,28512,5781,0.01,0.777434104
105,Israel,19007,6060,0.008,0.711351098
106,Cyprus,1821,837,0.006,0.698081735
107,Italy,32761,38803,0.003,0.640842279
108,Bahrain,4376,1043,0.016,0.635588056
109,Canada,7959,23587,0.002,0.630483013
110,Kuwait,11489,2640,0.014,0.627525553
111,Kiribati,3045,74,0.088,0.627118644
112,Germany,31239,50676,0.01,0.606774669
113,Malta,2620,259,0.018,0.588636364
114,Ireland,11710,2675,0.009,0.547931176
115,Qatar,758,1532,0.003,0.540960452
116,United Arab Emirates,3016,5135,0.004,0.525534746
117,Latvia,10284,955,0.02,0.500786576
118,Finland,4985,2621,0.005,0.473788865
119,Estonia,5979,600,0.019,0.452488688
120,Iceland,598,151,0.006,0.445427729
121,Bulgaria,18739,3117,0.051,0.445285714
122,United Kingdom,67549,29914,0.004,0.442973493
123,Puerto Rico,16517,1293,0.011,0.440845551
124,Spain,45853,20350,0.006,0.435415196
125,French Guiana,2360,126,0.039,0.432989691
126,Greece,14229,4506,0.004,0.430249212
127,Palestine,5599,2129,0.005,0.427424212
128,France,24109,27780,0.004,0.426531552
129,Singapore,6472,2468,0.004,0.425223983
130,Sweden,2150,4255,0.001,0.423973695
131,Slovenia,556,844,0.005,0.405964406
132,Guadeloupe,6564,162,0.039,0.405
133,Lithuania,3479,1037,0.021,0.375724638
134,Portugal,16402,3818,0.005,0.373362018
135,Poland,15703,14124,0.013,0.372782939
136,Martinique,749,139,0.005,0.369680851
137,New Zealand,9286,1714,0.007,0.358352498
138,Seychelles,4619,33,0.139,0.336734694
139,Taiwan,45718,7502,0.006,0.315554808
140,Slovakia,0,1719,0.0,0.315008246
141,Japan,143121,35684,0.003,0.281286458
142,Norway,8403,1494,0.006,0.277746793
143,Marshall Islands,3187,16,0.15,0.271186441
144,Reunion,847,233,0.003,0.262092238
145,Oman,4658,1251,0.005,0.251457286
146,South Korea,33747,12156,0.001,0.237306003
147,Mauritius,56051,299,0.122,0.235433071
148,Saudi Arabia,20552,7176,0.016,0.209402084
149,Australia,13889,5266,0.002,0.20894338
150,Belgium,2743,2284,0.002,0.19793743
151,Monaco,62,5,0.005,0.128205128
152,Maldives,31469,60,0.22,0.11299435
153,Georgia,14472,307,0.035,0.076807606
154,Denmark,1791,390,0.001,0.067567568
155,Syria,157904,502,0.119,0.029408319
156,Montenegro,4416,16,0.046,0.025477707
157,North Korea,304328,322,0.048,0.01254578
158,Somalia,101531,42,0.047,0.002719679
159,Curacao,268,0,0.005,0.0
160,Falkland Islands,5,0,0.005,0.0
161,Faeroe Islands,93,0,0.005,0.0
162,Anguilla,52,0,0.01,0.0
163,Turks and Caicos Islands,49,0,0.006,0.0
164,Tuvalu,457,0,0.108,0.0
165,British Virgin Islands,55,0,0.005,0.0
166,Bermuda,123,0,0.005,0.0
167,Tokelau,43,0,0.086,0.0
168,Cook Islands,416,5751,0.054,0.0
169,Cocos Islands,1,0,0.005,0.0
170,Christmas Island,3,0,0.005,0.0
171,Vanuatu,22478,0,0.245,0.0
172,Channel Islands,281,0,0.005,0.0
173,Cayman Islands,95,0,0.005,0.0
174,Cuba,90630,0,0.022,0.0
175,Saint Pierre and Miquelon,11,0,0.005,0.0
176,French Polynesia,1286,0,0.013,0.0
177,Gibraltar,65,0,0.005,0.0
178,Saint Helena,96,0,0.039,0.0
179,Northern Mariana Islands,219,0,0.006,0.0
180,Norfolk Island,68,0,0.086,0.0
181,Niue,4,0,0.006,0.0
182,Sint Maarten,70,3,0.005,0.0
183,New Caledonia,472,0,0.005,0.0
184,Netherlands Antilles,416,0,0.005,0.0
185,Nauru,554,0,0.099,0.0
186,Montserrat,38,0,0.02,0.0
187,Micronesia,4794,447,0.085,0.0
188,Macau,698,14749,0.007,0.0
189,Aruba,372,0,0.007,0.0
190,Guernsey,103,0,0.005,0.0
191,Guam,393,0,0.006,0.0
192,Saint Martin,0,8,0.0,0.0
193,Greenland,105,0,0.005,0.0
