,Country,Total_mT_2010,Total_mT_2019,PerHead_kg_2010,PerHead_kg_2019
0,Comoros,58032,59158,0.169,69.51586369
1,Trinidad and Tobago,94066,73139,0.19,52.42939068
2,Suriname,3942,22933,0.027,39.47160069
3,Philippines,1883659,4025300,0.062,37.23096275
4,Zimbabwe,0,524865,0.0,35.83919426
5,Guyana,42002,27565,0.224,35.20434227
6,Tanzania,48586,1716400,0.02,29.59055254
7,Libya,52779,188535,0.036,27.81983178
8,Uruguay,21562,92620,0.024,26.75332178
9,Malaysia,936818,814454,0.112,25.491518
10,Tunisia,234309,289538,0.088,24.7574177
11,Albania,29705,69833,0.032,24.23915307
12,Eritrea,16259,84088,0.035,24.0457535
13,Venezuela,102333,671431,0.017,23.54576378
14,Saint Lucia,6709,4276,0.113,23.36612022
15,Cameroon,27713,578798,0.038,22.36814036
16,Haiti,147389,237968,0.044,21.12829619
17,Turkey,485937,1656110,0.039,19.85029366
18,Thailand,1027739,1361690,0.108,19.55720564
19,Sudan,22928,781625,0.083,18.25672109
20,Dominican Republic,118226,194018,0.039,18.06667287
21,Algeria,520555,764578,0.086,17.75899473
22,Guatemala,91563,311003,0.105,17.68972186
23,Ghana,91571,520002,0.032,17.09520679
24,Nicaragua,84415,110862,0.066,16.93583868
25,Jamaica,10019,49673,0.01,16.84972863
26,Bosnia and Herzegovina,12955,55551,0.061,16.82853681
27,Democratic Republic of Congo,15208,1369730,0.039,15.78193592
28,Brazil,471404,3296700,0.017,15.62046908
29,Burkina Faso,0,317298,0.0,15.61429064
30,Belize,3892,6021,0.053,15.43846154
31,Togo,35401,121783,0.049,15.06842366
32,Dominica,783,1082,0.031,15.02777778
33,Cambodia,29686,247495,0.058,15.01152423
34,Honduras,95638,145995,0.079,14.97999179
35,Gambia,19616,35095,0.041,14.9467632
36,Mozambique,45995,434432,0.013,14.30652704
37,Lesotho,0,30391,0.0,14.30164706
38,Egypt,967012,1435510,0.122,14.29961748
39,Papua New Guinea,89835,119538,0.09,13.62101185
40,Timor,0,17244,0.0,13.33642691
41,Iraq,15563,491771,0.067,12.51007377
42,Jordan,1737,124425,0.086,12.31686795
43,Congo,16766,65291,0.054,12.13361829
