,Country,Total_mT_2010,Total_mT_2019,PerHead_kg_2010,PerHead_kg_2019
0,China,8819717,12272200,0.092,8.559308412
1,Indonesia,3216856,824234,0.047,3.045657286
2,Philippines,1883659,4025300,0.062,37.23096275
3,Vietnam,1833819,1112790,0.09,11.53604528
4,Sri Lanka,1591179,155466,0.299,7.290658413
5,Thailand,1027739,1361690,0.108,19.55720564
6,Egypt,967012,1435510,0.122,14.29961748
7,Malaysia,936818,814454,0.112,25.491518
8,Nigeria,851493,1948950,0.085,9.698005613
9,Bangladesh,787327,1021990,0.03,6.268108387
10,South Africa,630005,708467,0.134,12.09855186
11,India,599819,12994100,0.009,9.509608
12,Algeria,520555,764578,0.086,17.75899473
13,Turkey,485937,1656110,0.039,19.85029366
14,Pakistan,480493,1346460,0.09,6.21734837
15,Brazil,471404,3296700,0.017,15.62046908
16,Myanmar,458269,434432,0.066,8.038338422
17,Morocco,310126,295488,0.049,8.101776705
18,North Korea,304328,322,0.048,0.01254578
19,United States,275424,267469,0.007,0.812815117
20,Senegal,254770,65660,0.086,4.029209622
21,Iran,247403,495965,0.074,5.981679813
22,Tunisia,234309,289538,0.088,24.7574177
23,Cote d'Ivoire,194558,17544,0.086,11.33934751
24,Peru,194453,140313,0.039,4.315995078
25,Yemen,169181,291737,0.077,10.00401207
26,Syria,157904,502,0.119,0.029408319
27,Argentina,157777,465808,0.026,10.40191152
28,Haiti,147389,237968,0.044,21.12829619
29,Japan,143121,35684,0.003,0.281286458
30,Ukraine,128765,393777,0.052,8.950697822
31,El Salvador,118732,21693,0.051,3.361171367
32,Dominican Republic,118226,194018,0.039,18.06667287
33,Ecuador,109383,108797,0.047,6.262058248
34,Venezuela,102333,671431,0.017,23.54576378
35,Somalia,101531,42,0.047,0.002719679
36,Mexico,101343,430614,0.012,3.375352731
37,Honduras,95638,145995,0.079,14.97999179
38,Trinidad and Tobago,94066,73139,0.19,52.42939068
39,Colombia,92173,85454,0.034,1.697570472
40,Ghana,91571,520002,0.032,17.09520679
41,Guatemala,91563,311003,0.105,17.68972186
42,Cuba,90630,0,0.022,0.0
43,Papua New Guinea,89835,119538,0.09,13.62101185
44,Nicaragua,84415,110862,0.066,16.93583868
45,Russia,80759,363389,0.02,2.491149775
46,United Kingdom,67549,29914,0.004,0.442973493
47,Angola,62528,236946,0.045,7.445278869
48,Comoros,58032,59158,0.169,69.51586369
49,Liberia,56728,39930,0.072,8.087907636
50,Mauritius,56051,299,0.122,0.235433071
51,Libya,52779,188535,0.036,27.81983178
52,Fiji,49257,3858,0.151,4.334831461
53,Tanzania,48586,1716400,0.02,29.59055254
54,Lebanon,47815,46622,0.034,6.800175029
55,Mozambique,45995,434432,0.013,14.30652704
56,Spain,45853,20350,0.006,0.435415196
57,Taiwan,45718,7502,0.006,0.315554808
58,Benin,43015,133335,0.036,11.29861876
59,Costa Rica,42090,291614,0.047,1.139263074
60,Guyana,42002,27565,0.224,35.20434227
61,Sierra Leone,36408,91239,0.035,11.67784462
62,Togo,35401,121783,0.049,15.06842366
63,Madagascar,34522,25250,0.013,0.936260151
64,Panama,34388,36339,0.029,8.558407913
65,South Korea,33747,12156,0.001,0.237306003
66,Italy,32761,38803,0.003,0.640842279
67,Maldives,31469,60,0.22,0.11299435
68,Germany,31239,50676,0.01,0.606774669
69,Albania,29705,69833,0.032,24.23915307
70,Cambodia,29686,247495,0.058,15.01152423
71,Hong Kong,28512,5781,0.01,0.777434104
72,Cameroon,27713,578798,0.038,22.36814036
73,Netherlands,27700,15233,0.008,0.890975025
74,France,24109,27780,0.004,0.426531552
75,Sudan,22928,781625,0.083,18.25672109
76,Kenya,22658,289917,0.023,5.514455815
77,Vanuatu,22478,0,0.245,0.0
78,Chile,21754,30767,0.011,1.623417054
79,Uruguay,21562,92620,0.024,26.75332178
80,Saudi Arabia,20552,7176,0.016,0.209402084
81,Solomon Islands,20394,3520,0.09,5.253731343
82,Guinea-Bissau,20240,20465,0.046,10.65330557
83,Gambia,19616,35095,0.041,14.9467632
84,Israel,19007,6060,0.008,0.711351098
85,Bulgaria,18739,3117,0.051,0.445285714
86,Guinea,18514,147997,0.025,11.58852087
87,Djibouti,17324,10289,0.076,10.56365503
88,Congo,16766,65291,0.054,12.13361829
89,Puerto Rico,16517,1293,0.011,0.440845551
90,Croatia,16461,0,0.028,4.247941889
91,Portugal,16402,3818,0.005,0.373362018
92,Eritrea,16259,84088,0.035,24.0457535
93,Poland,15703,14124,0.013,0.372782939
94,Iraq,15563,491771,0.067,12.51007377
95,Democratic Republic of Congo,15208,1369730,0.039,15.78193592
96,Georgia,14472,307,0.035,0.076807606
97,Greece,14229,4506,0.004,0.430249212
98,Australia,13889,5266,0.002,0.20894338
99,Mauritania,13854,20796,0.038,4.594785683
100,Bosnia and Herzegovina,12955,55551,0.061,16.82853681
101,Ireland,11710,2675,0.009,0.547931176
102,Kuwait,11489,2640,0.014,0.627525553
103,Latvia,10284,955,0.02,0.500786576
