,Country,Total_mT_2010,Total_mT_2019,PerHead_kg_2010,PerHead_kg_2019
104,Jamaica,10019,49673,0.01,16.84972863
105,Cape Verde,9347,3568,0.049,6.487272727
106,New Zealand,9286,1714,0.007,0.358352498
107,Norway,8403,1494,0.006,0.277746793
108,Canada,7959,23587,0.002,0.630483013
109,Saint Lucia,6709,4276,0.113,23.36612022
110,Tonga,6624,666,0.176,6.403846154
111,Guadeloupe,6564,162,0.039,0.405
112,Singapore,6472,2468,0.004,0.425223983
113,Gabon,6087,5991,0.019,2.757017948
114,Estonia,5979,600,0.019,0.452488688
115,Equatorial Guinea,5977,9403,0.047,6.934365782
116,Palestine,5599,2129,0.005,0.427424212
117,Namibia,5480,20892,0.097,8.373547094
118,Samoa,5122,1738,0.084,8.822335025
119,Sao Tome and Principe,5081,2069,0.085,9.623255814
120,Finland,4985,2621,0.005,0.473788865
121,Micronesia,4794,447,0.085,0.0
122,Oman,4658,1251,0.005,0.251457286
123,Seychelles,4619,33,0.139,0.336734694
124,Montenegro,4416,16,0.046,0.025477707
125,Bahrain,4376,1043,0.016,0.635588056
126,Suriname,3942,22933,0.027,39.47160069
127,Belize,3892,6021,0.053,15.43846154
128,Romania,3610,52161,0.011,2.693570875
129,Barbados,3483,872,0.034,3.038327526
130,Lithuania,3479,1037,0.021,0.375724638
131,Marshall Islands,3187,16,0.15,0.271186441
132,Kiribati,3045,74,0.088,0.627118644
133,United Arab Emirates,3016,5135,0.004,0.525534746
134,Belgium,2743,2284,0.002,0.19793743
135,Malta,2620,259,0.018,0.588636364
136,French Guiana,2360,126,0.039,0.432989691
137,Grenada,2248,1357,0.064,12.11607143
138,Saint Vincent and the Grenadines,2245,1235,0.051,11.12612613
139,Sweden,2150,4255,0.001,0.423973695
140,Cyprus,1821,837,0.006,0.698081735
141,Denmark,1791,390,0.001,0.067567568
142,Jordan,1737,124425,0.086,12.31686795
143,Bahamas,1333,2212,0.011,5.686375321
144,French Polynesia,1286,0,0.013,0.0
145,Antigua and Barbuda,1253,627,0.051,6.463917526
146,Reunion,847,233,0.003,0.262092238
147,Dominica,783,1082,0.031,15.02777778
148,Qatar,758,1532,0.003,0.540960452
149,Martinique,749,139,0.005,0.369680851
150,Palau,716,116,0.084,6.444444444
151,Saint Kitts and Nevis,715,97,0.054,1.830188679
152,Macau,698,14749,0.007,0.0
153,Iceland,598,151,0.006,0.445427729
154,Slovenia,556,844,0.005,0.405964406
155,Nauru,554,0,0.099,0.0
156,New Caledonia,472,0,0.005,0.0
157,Tuvalu,457,0,0.108,0.0
158,Cook Islands,416,5751,0.054,0.0
159,Netherlands Antilles,416,0,0.005,0.0
160,Guam,393,0,0.006,0.0
161,Aruba,372,0,0.007,0.0
162,Channel Islands,281,0,0.005,0.0
163,Curacao,268,0,0.005,0.0
164,Northern Mariana Islands,219,0,0.006,0.0
165,Bermuda,123,0,0.005,0.0
166,Greenland,105,0,0.005,0.0
167,Guernsey,103,0,0.005,0.0
168,Saint Helena,96,0,0.039,0.0
169,Cayman Islands,95,0,0.005,0.0
170,Faeroe Islands,93,0,0.005,0.0
171,Brunei,93,692,0.001,1.598152425
172,Sint Maarten,70,3,0.005,0.0
173,Norfolk Island,68,0,0.086,0.0
174,Gibraltar,65,0,0.005,0.0
175,Monaco,62,5,0.005,0.128205128
176,British Virgin Islands,55,0,0.005,0.0
177,Anguilla,52,0,0.01,0.0
178,Turks and Caicos Islands,49,0,0.006,0.0
179,Tokelau,43,0,0.086,0.0
180,Montserrat,38,0,0.02,0.0
181,Saint Pierre and Miquelon,11,0,0.005,0.0
182,Falkland Islands,5,0,0.005,0.0
183,Niue,4,0,0.006,0.0
184,Christmas Island,3,0,0.005,0.0
185,Cocos Islands,1,0,0.005,0.0
186,Western Sahara,0,4114,0.0,7.068728522
187,Slovakia,0,1719,0.0,0.315008246
188,Kazakhstan,0,54242,0.0,2.92393941
189,Lesotho,0,30391,0.0,14.30164706
190,Timor,0,17244,0.0,13.33642691
191,Saint Martin,0,8,0.0,0.0
192,Burkina Faso,0,317298,0.0,15.61429064
193,Zimbabwe,0,524865,0.0,35.83919426
