,Country,Total_mT_2010,Total_mT_2019,PerHead_kg_2010,PerHead_kg_2019
133,Israel,19007,6060,0.008,0.711351098
134,United States,275424,267469,0.007,0.812815117
135,New Zealand,9286,1714,0.007,0.358352498
136,Aruba,372,0,0.007,0.0
137,Macau,698,14749,0.007,0.0
138,Northern Mariana Islands,219,0,0.006,0.0
139,Guam,393,0,0.006,0.0
140,Spain,45853,20350,0.006,0.435415196
141,Cyprus,1821,837,0.006,0.698081735
142,Iceland,598,151,0.006,0.445427729
143,Norway,8403,1494,0.006,0.277746793
144,Taiwan,45718,7502,0.006,0.315554808
145,Turks and Caicos Islands,49,0,0.006,0.0
146,Niue,4,0,0.006,0.0
147,Sint Maarten,70,3,0.005,0.0
148,Christmas Island,3,0,0.005,0.0
149,Martinique,749,139,0.005,0.369680851
150,Channel Islands,281,0,0.005,0.0
151,Cayman Islands,95,0,0.005,0.0
152,British Virgin Islands,55,0,0.005,0.0
153,Bermuda,123,0,0.005,0.0
154,Cocos Islands,1,0,0.005,0.0
155,Slovenia,556,844,0.005,0.405964406
156,Monaco,62,5,0.005,0.128205128
157,Greenland,105,0,0.005,0.0
158,Oman,4658,1251,0.005,0.251457286
159,Gibraltar,65,0,0.005,0.0
160,Palestine,5599,2129,0.005,0.427424212
161,Finland,4985,2621,0.005,0.473788865
162,Falkland Islands,5,0,0.005,0.0
163,New Caledonia,472,0,0.005,0.0
164,Netherlands Antilles,416,0,0.005,0.0
165,Portugal,16402,3818,0.005,0.373362018
166,Faeroe Islands,93,0,0.005,0.0
167,Guernsey,103,0,0.005,0.0
168,Curacao,268,0,0.005,0.0
169,Saint Pierre and Miquelon,11,0,0.005,0.0
170,Greece,14229,4506,0.004,0.430249212
171,Singapore,6472,2468,0.004,0.425223983
172,United Kingdom,67549,29914,0.004,0.442973493
173,United Arab Emirates,3016,5135,0.004,0.525534746
174,France,24109,27780,0.004,0.426531552
175,Italy,32761,38803,0.003,0.640842279
176,Qatar,758,1532,0.003,0.540960452
177,Japan,143121,35684,0.003,0.281286458
178,Reunion,847,233,0.003,0.262092238
179,Belgium,2743,2284,0.002,0.19793743
180,Australia,13889,5266,0.002,0.20894338
181,Canada,7959,23587,0.002,0.630483013
182,Denmark,1791,390,0.001,0.067567568
183,Sweden,2150,4255,0.001,0.423973695
184,Brunei,93,692,0.001,1.598152425
185,South Korea,33747,12156,0.001,0.237306003
186,Kazakhstan,0,54242,0.0,2.92393941
187,Western Sahara,0,4114,0.0,7.068728522
188,Lesotho,0,30391,0.0,14.30164706
189,Burkina Faso,0,317298,0.0,15.61429064
190,Slovakia,0,1719,0.0,0.315008246
191,Saint Martin,0,8,0.0,0.0
192,Timor,0,17244,0.0,13.33642691
193,Zimbabwe,0,524865,0.0,35.83919426
