,Country,Total_mT_2010,Total_mT_2019,PerHead_kg_2010,PerHead_kg_2019,rise_total,rise_PerHead
96,Cayman Islands,95,0,0.005,0.0,-95,-0.005
97,Saint Helena,96,0,0.039,0.0,-96,-0.039
98,Gabon,6087,5991,0.019,2.757017948,-96,2.738017948
99,Guernsey,103,0,0.005,0.0,-103,-0.005
100,Greenland,105,0,0.005,0.0,-105,-0.005
101,Bermuda,123,0,0.005,0.0,-123,-0.005
102,Northern Mariana Islands,219,0,0.006,0.0,-219,-0.006
103,Curacao,268,0,0.005,0.0,-268,-0.005
104,Channel Islands,281,0,0.005,0.0,-281,-0.005
105,Aruba,372,0,0.007,0.0,-372,-0.007
106,Guam,393,0,0.006,0.0,-393,-0.006
107,Netherlands Antilles,416,0,0.005,0.0,-416,-0.005
108,Iceland,598,151,0.006,0.445427729,-447,0.439427729
109,Tuvalu,457,0,0.108,0.0,-457,-0.108
110,Belgium,2743,2284,0.002,0.19793743,-459,0.19593743
111,New Caledonia,472,0,0.005,0.0,-472,-0.005
112,Nauru,554,0,0.099,0.0,-554,-0.099
113,Ecuador,109383,108797,0.047,6.262058248,-586,6.215058248
114,Palau,716,116,0.084,6.444444444,-600,6.3604444440000005
115,Martinique,749,139,0.005,0.369680851,-610,0.364680851
116,Reunion,847,233,0.003,0.262092238,-614,0.259092238
117,Saint Kitts and Nevis,715,97,0.054,1.830188679,-618,1.7761886789999999
118,Antigua and Barbuda,1253,627,0.051,6.463917526,-626,6.412917526
119,Grenada,2248,1357,0.064,12.11607143,-891,12.05207143
120,Cyprus,1821,837,0.006,0.698081735,-984,0.692081735
121,Saint Vincent and the Grenadines,2245,1235,0.051,11.12612613,-1010,11.07512613
122,Lebanon,47815,46622,0.034,6.800175029,-1193,6.766175029
123,French Polynesia,1286,0,0.013,0.0,-1286,-0.013
124,Denmark,1791,390,0.001,0.067567568,-1401,0.066567568
125,Poland,15703,14124,0.013,0.372782939,-1579,0.35978293899999997
126,French Guiana,2360,126,0.039,0.432989691,-2234,0.39398969100000003
127,Malta,2620,259,0.018,0.588636364,-2361,0.570636364
128,Finland,4985,2621,0.005,0.473788865,-2364,0.468788865
