,Entity,Code,Year,waste to ocean
156,Saint Martin,,2019,0.0
157,Maldives,MDV,2019,0.0
158,Malta,MLT,2019,0.0
159,Marshall Islands,MHL,2019,0.0
160,Mauritius,MUS,2019,0.0
161,Monaco,MCO,2019,0.0
162,Montenegro,MNE,2019,0.0
163,Norway,NOR,2019,0.0
164,Slovakia,SVK,2019,0.0
165,Sint Maarten,,2019,0.0
166,Qatar,QAT,2019,0.0
167,Reunion,REU,2019,0.0
168,Seychelles,SYC,2019,0.0
169,Zimbabwe,ZWE,2019,0.0
